"FK Name","Parent table","Parent field","Parent column_id","Referenced table","Referenced field","Referenced column_id","term_category"
"FK_AccessionStatus_To_Dictionary","Accession","StatusId","6","DictionaryItem","Id","1",
"FK_AccessionReceivedAs_To_Dictionary","Accession","ReceivedAsId","9","DictionaryItem","Id","1",
"FK_AccessionInterumLocation_To_Dictionary","Accession","InterumLocationId","18","DictionaryItem","Id","1","location"
"FK_AccessionReceivedBy_To_Dictionary","Accession","ReceivedById","23","DictionaryItem","Id","1","name"
"FK_AccessionAccessionedBy_To_Dictionary","Accession","AccessionedById","24","DictionaryItem","Id","1","name"
"FK_Accession_StatusByUserId_To_User","Accession","StatusByUserId","26","User","UserId","1",
"FK_Accession_RenewedBy_To_DictionaryItem","Accession","RenewedById","28","DictionaryItem","Id","1","name"
"FK_Accessions_ConvertedToAccessionId","Accession","ConvertedToAccessionId","33","Accession","Id","1",
"FK_Accession_CreatedByUserId","Accession","CreatedByUserId","38","User","UserId","1",
"FK_Accession_LastModifiedByUserId","Accession","LastModifiedByUserId","39","User","UserId","1",
"FK_Accession_FlagId","Accession","FlagId","40","Flag","Id","1",
"FK_AccessionActivities_To_Accession","AccessionActivities","AccessionId","1","Accession","Id","1",
"FK_AccessionActivities_To_Activity","AccessionActivities","ActivityId","2","Activity","Id","1",
"FK_AccessionAttachment_To_Accession","AccessionAttachment","AccessionId","2","Accession","Id","1",
"FK_AccessionAttachment_To_Attachment","AccessionAttachment","AttachmentId","3","Attachment","Id","1",
"FK_AccessionCustomField_AccessionId","AccessionCustomField","AccessionId","2","Accession","Id","1",
"FK_AccessionCustomField_FieldMetadata","AccessionCustomField","FieldMetadataId","3","FieldMetadata","Id","1",
"FK_AccessionDonors_To_Accession","AccessionDonors","AccessionId","2","Accession","Id","1",
"FK_AccessionDonors_To_Contact","AccessionDonors","ContactId","3","Contact","Id","1","name"
"FK_AccessionDonorsDocuments_To_AccessionDonors","AccessionDonorsDocuments","AccessionDonorId","2","AccessionDonors","Id","1",
"FK_AccessionDonorsDocuments_To_Documents","AccessionDonorsDocuments","DocumentId","3","Document","Id","1",
"FK_AccessionInstructionsAndOtherInformation_To_Accession","AccessionInstructionsAndOtherInformation","Id","1","Accession","Id","1",
"FK_AccessionInstructionsAndOtherInformation_DataSetId_To_DictionaryItem","AccessionInstructionsAndOtherInformation","DataSetId","10","DictionaryItem","Id","1",
"FK_AccessionInsuranceInformation_To_Accession","AccessionInsuranceInformation","Id","1","Accession","Id","1",
"FK_AccessionShippingInformation_To_Accession","AccessionShippingInformation","AccessionId","1","Accession","Id","1",
"FK_AccessionSource_AccessionId","AccessionSource","AccessionId","1","Accession","Id","1",
"FK_AccessionSource_ContactId","AccessionSource","ContactId","2","Contact","Id","1","name"
"FK_AccessionUrl_To_Accession","AccessionUrl","AccessionId","2","Accession","Id","1",
"FK_AccessionUrl_To_Url","AccessionUrl","UrlId","3","Url","Id","1",
"FK_Activity_DoneById_To_Dictionary","Activity","DoneById","5","DictionaryItem","Id","1","name"
"FK_Activity_ActivityId_To_Dictionary","Activity","ActivityId","6","DictionaryItem","Id","1",
"FK_AppraisalReport_CatalogItem","AppraisalReport","CatalogItemId","2","CatalogItemAppraisal","CatalogItemId","1",
"FK_AppraisalReport_ReasonId_To_DictionaryItem","AppraisalReport","ReasonId","6","DictionaryItem","Id","1",
"FK_AppraisalReport_AppraiserId_To_DictionaryItem","AppraisalReport","AppraiserId","7","DictionaryItem","Id","1","name"
"FK_ArchiveAlliedMaterials_To_Archive","ArchiveAlliedMaterials","CatalogItemId","1","CatalogItemArchive","CatalogItemId","1",
"FK_ArchiveAlliedMaterials_ArchivistId_To_DictionaryItem","ArchiveAlliedMaterials","ArchivistId","9","DictionaryItem","Id","1","name"
"FK_ArchiveContainerLocation_To_Archive","ArchiveContainerLocation","CatalogItemId","2","CatalogItemArchive","CatalogItemId","1",
"FK_ArchiveContainerLocation_CreatorId_To_Person","ArchiveContainerLocation","CreatorId","11","Person","Id","1","name"
"FK_ArchiveContainerLocationSubjects_ArchiveContainerLocationId_To_ArchiveContainerLocation","ArchiveContainerLocationSubjects","ArchiveContainerLocationId","1","ArchiveContainerLocation","Id","1",
"FK_ArchiveContainerLocationSubjects_DictionaryItemId_To_DictionaryItem","ArchiveContainerLocationSubjects","DictionaryItemId","2","DictionaryItem","Id","1","location"
"FK_ArchiveIdentity_To_Archive","ArchiveIdentity","CatalogItemId","1","CatalogItemArchive","CatalogItemId","1",
"FK_ArchiveIdentity_CreatorId_To_Person","ArchiveIdentity","CreatorId","10","Person","Id","1","name"
"FK_ArchiveIdentity_To_Site","ArchiveIdentity","SiteId","11","Site","Id","1","place"
"FK_ArchiveIdentity_EventId_To_DictionaryItem","ArchiveIdentity","EventId","12","DictionaryItem","Id","1",
"FK_ArchiveIdentity_MultilevelId_To_DictionaryItem","ArchiveIdentity","MultilevelId","13","DictionaryItem","Id","1",
"FK_ArchivePeople_CatalogItemId_To_ArchiveIdentity","ArchiveIdentityPeople","CatalogItemId","1","ArchiveIdentity","CatalogItemId","1",
"FK_ArchivePeople_PersonId_To_Person","ArchiveIdentityPeople","PersonId","2","Person","Id","1","name"
